"","Season","School","coach_factor","Conference","Coach","TeamID","player_factor","total_factor"
"1",2010,"Duke",18.0534512177304,"ACC","Mike Krzyzewski",1181,55.185,73.2384512177304
"2",2018,"Duke",22.8788353045484,"ACC","Mike Krzyzewski",1181,49.952,72.8308353045484
"3",2019,"Duke",23.5440885864603,"ACC","Mike Krzyzewski",1181,48.143,71.6870885864603
"4",2017,"Duke",22.2746017403254,"ACC","Mike Krzyzewski",1181,42.22,64.4946017403254
"5",2021,"Gonzaga",13.103201522614,"WCC","Mark Few",1211,50.977,64.080201522614
"6",2020,"Duke",24.0641335899434,"ACC","Mike Krzyzewski",1181,38.494,62.5581335899434
"7",2020,"Kansas",14.7261937276879,"Big 12","Bill Self",1242,47.517,62.2431937276879
"8",2022,"Duke",25,"ACC","Mike Krzyzewski",1181,36.824,61.824
"9",2013,"Duke",19.9048449416634,"ACC","Mike Krzyzewski",1181,41.475,61.3798449416634
"10",2018,"Villanova",11.3144420114352,"Big East","Jay Wright",1437,49.816,61.1304420114352
"11",2015,"Duke",21.172649850205,"ACC","Mike Krzyzewski",1181,38.393,59.565649850205
"12",2012,"Kentucky",11.376906718841,"SEC","John Calipari",1246,48.089,59.465906718841
"13",2016,"Duke",21.6915488440021,"ACC","Mike Krzyzewski",1181,36.968,58.6595488440021
"14",2015,"Wisconsin",8.04932489251032,"Big Ten","Bo Ryan",1458,50.561,58.6103248925103
"15",2017,"Kansas",12.9573050210368,"Big 12","Bill Self",1242,45.187,58.1443050210368
"16",2021,"Houston",12.3131178450714,"AAC","Kelvin Sampson",1222,45.391,57.7041178450714
"17",2021,"Baylor",8.11137908881434,"Big 12","Scott Drew",1124,49.282,57.3933790888143
"18",2018,"Davidson",11.5244807238012,"A-10","Bob McKillop",1172,45.74,57.2644807238012
"19",2013,"Syracuse",19.1343866710189,"Big East","Jim Boeheim",1393,38.114,57.2483866710189
"20",2017,"Villanova",10.5657561483935,"Big East","Jay Wright",1437,46.588,57.1537561483935
"21",2018,"Syracuse",21.3608860160173,"ACC","Jim Boeheim",1393,35.686,57.0468860160173
"22",2021,"Oregon",14.3500009052171,"Pac-12","Dana Altman",1332,42.688,57.0380009052171
"23",2012,"Ohio State",6.71799062191161,"Big Ten","Thad Matta",1326,50.264,56.9819906219116
"24",2014,"Syracuse",19.7168994462424,"ACC","Jim Boeheim",1393,37.263,56.9798994462424
"25",2025,"St. John's (NY)",18.4071003058261,"Big East","Rick Pitino",1385,38.568,56.9751003058261
"26",2014,"Duke",20.4450016097523,"ACC","Mike Krzyzewski",1181,36.243,56.6880016097522
"27",2022,"Kentucky",16.8480522928792,"SEC","John Calipari",1246,39.839,56.6870522928792
"28",2020,"Oregon",13.9146816296306,"Pac-12","Dana Altman",1332,42.5,56.4146816296306
"29",2012,"West Virginia",13.2684314539019,"Big East","Bob Huggins",1452,42.082,55.3504314539019
