Unnamed: 0,Coach,School,Conference,W_curr,L_curr,W_pct_curr,AP Pre,AP Post,AP Change,NCAA Tournament,W_ovr,L_ovr,W_pct_ovr,NCAA_app_ovr,S16_ovr,FF_ovr,Chmp_ovr,Season,pake,pase,wins,loss,Total_NCAAT_games,w_percent,total_games,norm,TeamID
1,Mike Adras,Northern Arizona,Big Sky,14,14,0.5,,,,,172,150,0.53416149068323,1.0,,,,2010,-0.3,-0.1,0.0,1.0,1.0,0.0,322,northern arizona,1319
1,Mike Adras,Northern Arizona,Big Sky,14,14,0.5,,,,,172,150,0.53416149068323,1.0,,,,2010,-0.3,-0.1,0.0,1.0,1.0,0.0,322,northern arizona,1319
2,Jesse Agel,Brown,Ivy,11,20,0.354838709677419,,,,,20,39,0.338983050847458,,,,,2010,,,,,,,59,brown,1135
3,Steve Alford,New Mexico,MWC,30,5,0.857142857142857,,8.0,,Lost Second Round,306,180,0.62962962962963,5.0,1.0,,,2010,-2.5,-3.8,9.0,10.0,19.0,0.474,486,new mexico,1307
3,Steve Alford,New Mexico,MWC,30,5,0.857142857142857,,8.0,,Lost Second Round,306,180,0.62962962962963,5.0,1.0,,,2010,-2.5,-3.8,9.0,10.0,19.0,0.474,486,new mexico,1307
4,Frankie Allen,Maryland-Eastern Shore,MEAC,11,21,0.34375,,,,,241,338,0.416234887737478,2.0,,,,2010,,,,,,,579,maryland eastern shore,1271
4,Frankie Allen,Maryland-Eastern Shore,MEAC,11,21,0.34375,,,,,241,338,0.416234887737478,2.0,,,,2010,,,,,,,579,maryland eastern shore,1271
4,Frankie Allen,Maryland-Eastern Shore,MEAC,11,21,0.34375,,,,,241,338,0.416234887737478,2.0,,,,2010,,,,,,,579,maryland eastern shore,1271
5,Jerome Allen,Penn,Ivy,6,15,0.285714285714286,,,,,6,15,0.285714285714286,,,,,2010,,,,,,,21,penn,1335
6,Dana Altman,Creighton,MVC,18,16,0.529411764705882,,,,,410,243,0.627871362940276,8.0,,,,2010,3.0,3.5,18.0,15.0,33.0,0.545,653,creighton,1166
7,Tommy Amaker,Harvard,Ivy,21,8,0.724137931034483,,,,,219,183,0.544776119402985,1.0,1.0,,,2010,1.7,2.0,4.0,5.0,9.0,0.444,402,harvard,1217
8,Mike Anderson Sr,Missouri,Big 12,23,11,0.676470588235294,,,,Lost Second Round,177,87,0.670454545454545,5.0,2.0,,,2010,,,,,,,264,missouri,1281
