Player,Team,Pos,Injury,Status,Est. Return
Ty Bevins,George Washington,G,Undisclosed,Game Time Decision,Subscribers Only
Mohamed Binzagr,George Washington,G,Undisclosed,Game Time Decision,Subscribers Only
Evan Dickey,Dayton,G,Undisclosed,Game Time Decision,Subscribers Only
B.J. Edwards,SMU,G,Ankle,Game Time Decision,Subscribers Only
Tyler Hendricks,Utah Valley,G,Undisclosed,Game Time Decision,Subscribers Only
Chris Howell,New Mexico,G,Wrist,Game Time Decision,Subscribers Only
Po'Boigh King,Sam Houston,G,Undisclosed,Game Time Decision,Subscribers Only
Will Lange,St. Joseph's,G,Undisclosed,Game Time Decision,Subscribers Only
Stephon Marbury II,California,G,Undisclosed,Game Time Decision,Subscribers Only
Marqus Marion,Wake Forest,F,Undisclosed,Game Time Decision,Subscribers Only
Kevin Patton,New Mexico,G,Personal,Game Time Decision,Subscribers Only
Steven Solano,St. Joseph's,C,Undisclosed,Game Time Decision,Subscribers Only
Owen Verna,St. Joseph's,G,Undisclosed,Game Time Decision,Subscribers Only
Milos Vicentic,New Mexico,F,Undisclosed,Game Time Decision,Subscribers Only
Corey Washington,SMU,F,Undisclosed,Game Time Decision,Subscribers Only
Antonio Chandler,Siena,F,Not Injury Related,Game Time Decision,Subscribers Only
Taison Chatman,Ohio State,G,Groin,Game Time Decision,Subscribers Only
Shane Frazier,Howard,G,Undisclosed,Out,Subscribers Only
Kevin Gad,St. Mary's (CAL),F,Shoulder,Game Time Decision,Subscribers Only
Winters Grady,Michigan,G,Lower Leg,Game Time Decision,Subscribers Only
Jack Janicki,Wisconsin,G,Wrist,Game Time Decision,Subscribers Only
Karter Knox,Arkansas,F,Knee,Game Time Decision,Subscribers Only
Ivan Matlekovic,North Carolina,F,Hand,Game Time Decision,Subscribers Only
Patrick Ngongba,Duke,C,Foot,Game Time Decision,Subscribers Only
Josh Ojianwuna,Ohio State,F,Knee,Game Time Decision,Subscribers Only
TJ Power,Pennsylvania,F,Illness,Game Time Decision,Subscribers Only
Ethan Roberts,Pennsylvania,F,Concussion,Game Time Decision,Subscribers Only
Ty Rodgers,Illinois,F,Knee,Game Time Decision,Subscribers Only
Theo Seng,Troy,F,Knee,Game Time Decision,Subscribers Only
Xavion Staton,BYU,C,Undisclosed,Game Time Decision,Subscribers Only
Lassina Traore,Texas,F,Knee,Out,Subscribers Only
Jalen Warley,Gonzaga,G,Thigh,Game Time Decision,Subscribers Only
Dylan Williams,Pennsylvania,G,Undisclosed,Game Time Decision,Subscribers Only
Nolan Winter,Wisconsin,F,Ankle,Game Time Decision,Subscribers Only
Blake Anderson,Miami (OH),G,Undisclosed,Out,Subscribers Only
Tyler Bilodeau,UCLA,F,Knee,Game Time Decision,Subscribers Only
Ryan Bolton Jr,Prairie View,F,Undisclosed,Out,Subscribers Only
Keitenn Bristow,Alabama,F,Ankle,Game Time Decision,Subscribers Only
Marcel Bryant,Prairie View,F,Undisclosed,Out,Subscribers Only
Caesar Burrows,Lehigh,G,Undisclosed,Out,Subscribers Only
Silas Demary,Connecticut,G,Ankle,Game Time Decision,Subscribers Only
Davion Hannah,Alabama,G,Undisclosed,Game Time Decision,Subscribers Only
Aden Holloway,Alabama,G,Not Injury Related,Out,Subscribers Only
Xzavion Mitchell,Iowa State,F,Undisclosed,Game Time Decision,Subscribers Only
Bube Momah,Lehigh,F,Undisclosed,Out,Subscribers Only
Kelvin Odih,St. John's,G,Leg,Game Time Decision,Subscribers Only
Jevon Porter,Missouri,F,Lower Leg,Game Time Decision,Subscribers Only
Jayden Quaintance,Kentucky,F,Knee,Game Time Decision,Subscribers Only
Trent Steinour,Clemson,F,Undisclosed,Game Time Decision,Subscribers Only
Jaylin Stewart,Connecticut,F,Knee,Game Time Decision,Subscribers Only
Leshawn Stowers,Miami (OH),G,Undisclosed,Out,Subscribers Only
LeJuan Watts,Texas Tech,F,Undisclosed,Game Time Decision,Subscribers Only
Isaiah Coleman,Oklahoma State,G,Suspension,Out,Subscribers Only
Ladji Dembele,UNLV,F,Undisclosed,Game Time Decision,Subscribers Only
Terrance Ford,Tulsa,G,Arm,Game Time Decision,Subscribers Only
David Green,Tulsa,F,Undisclosed,Out,Subscribers Only
Joy Ighovodja,Wichita State,G,Foot,Out,Subscribers Only
Kaden Metheny,Liberty,G,Undisclosed,Out,Subscribers Only
Vyctorius Miller,Oklahoma State,G,Suspension,Out,Subscribers Only
Anthony Roy,Oklahoma State,G,Suspension,Out,Subscribers Only
Andrija Vukovic,Oklahoma State,F,Undisclosed,Out,Subscribers Only
Gavin Walsh,UNC-Wilmington,F,Knee,Out,Subscribers Only
Braden Huff,Gonzaga,F,Kneecap,Out,Subscribers Only
Mikel Brown,Louisville,G,Back,Out,Subscribers Only
Jaylen Crocker-Johnson,Minnesota,F,Foot,Game Time Decision,Subscribers Only
Jeff Nwankwo,Oklahoma,G,Undisclosed,Game Time Decision,Subscribers Only
Sebastian Rancik,Colorado,F,Concussion,Game Time Decision,Subscribers Only
Nehemiah Turner,Minnesota,F,Undisclosed,Game Time Decision,Subscribers Only
Kristers Skrinda,Stanford,F,Undisclosed,Game Time Decision,Subscribers Only
